passo;spostamento_mm;taglio_base_N;algoritmo
1;0.500000;11047.293;Newton
2;1.000000;20480.184;Newton
3;1.500000;26807.986;Newton
4;2.000000;31342.358;Newton
5;2.500000;34951.011;Newton
6;3.000000;38037.146;Newton
7;3.500000;40789.378;Newton
8;4.000000;43310.716;Newton
9;4.500000;45668.113;Newton
10;5.000000;47913.318;Newton
11;5.500000;50075.727;Newton
12;6.000000;52159.736;Newton
13;6.500000;54162.013;Newton
14;7.000000;56117.947;Newton
15;7.500000;58055.189;Newton
16;8.000000;59979.850;Newton
17;8.500000;61841.873;Newton
18;9.000000;62095.907;KrylovNewton
19;9.500000;62925.491;Newton
20;10.000000;63189.477;Newton
21;10.500000;63588.577;Newton
22;11.000000;62775.552;Newton
23;11.500000;62742.813;Newton
24;12.000000;62901.342;Newton
25;12.500000;62157.741;Newton
26;13.000000;61919.251;Newton
27;13.500000;61832.640;Newton
28;14.000000;61565.061;Newton
29;14.500000;61517.517;Newton
30;15.000000;61690.786;Newton
31;15.500000;61925.243;Newton
32;16.000000;62185.145;Newton
33;16.500000;62486.175;Newton
34;17.000000;62772.960;Newton
35;17.500000;63071.602;Newton
36;18.000000;63096.948;KrylovNewton
37;18.500000;63213.737;Newton
38;19.000000;63413.016;Newton
39;19.500000;63625.043;Newton
40;20.000000;63831.476;Newton
41;20.500000;63997.575;Newton
42;21.000000;63960.747;Newton
43;21.500000;63296.709;Newton
44;22.000000;63240.168;Newton
45;22.500000;63284.291;Newton
46;23.000000;63383.943;Newton
47;23.500000;63487.360;Newton
48;24.000000;63621.018;Newton
49;24.500000;63762.068;Newton
50;25.000000;63924.990;Newton
51;25.500000;64087.587;Newton
52;26.000000;64251.520;Newton
53;26.500000;64429.526;Newton
54;27.000000;64612.561;Newton
55;27.500000;64794.965;Newton
56;28.000000;64977.023;Newton
57;28.500000;65158.144;Newton
58;29.000000;65337.565;Newton
59;29.500000;65520.299;Newton
60;30.000000;65705.822;Newton
61;30.500000;65891.160;Newton
62;31.000000;66078.557;Newton
63;31.500000;66269.214;Newton
64;32.000000;66459.742;Newton
65;32.500000;66650.351;Newton
66;33.000000;66840.893;Newton
67;33.500000;67031.363;Newton
68;34.000000;67221.693;Newton
69;34.500000;67411.854;Newton
70;35.000000;67601.908;Newton
71;35.500000;67791.863;Newton
72;36.000000;67981.718;Newton
73;36.500000;68171.481;Newton
74;37.000000;68361.133;Newton
75;37.500000;68550.562;Newton
76;38.000000;68739.504;Newton
77;38.500000;68927.818;Newton
78;39.000000;69116.090;Newton
79;39.500000;69304.301;Newton
80;40.000000;69492.445;Newton
81;40.500000;69680.510;Newton
82;41.000000;69868.438;Newton
83;41.500000;70056.169;Newton
84;42.000000;70243.595;Newton
85;42.500000;70430.482;Newton
86;43.000000;70616.235;Newton
87;43.500000;70646.897;Newton
88;44.000000;70688.740;Newton
89;44.500000;70638.194;KrylovNewton
90;45.000000;70596.129;Newton
91;45.500000;70563.974;Newton
92;46.000000;70522.122;Newton
93;46.500000;70548.623;Newton
94;47.000000;70626.850;Newton
95;47.500000;70711.563;Newton
96;48.000000;70828.571;Newton
97;48.500000;70946.821;Newton
98;49.000000;71079.192;Newton
99;49.500000;71208.335;Newton
100;50.000000;71346.053;Newton
101;50.500000;71475.857;Newton
102;51.000000;71592.427;Newton
103;51.500000;71706.834;Newton
104;52.000000;71809.407;Newton
105;52.500000;71905.311;Newton
106;53.000000;71972.660;Newton
107;53.500000;72030.025;Newton
108;54.000000;72081.969;Newton
109;54.500000;72115.243;Newton
110;55.000000;72096.561;Newton
111;55.500000;72052.397;Newton
112;56.000000;71980.070;Newton
113;56.500000;71887.084;KrylovNewton
114;57.000000;71759.671;Newton
115;57.500000;71655.656;Newton
116;58.000000;71542.134;Newton
117;58.500000;71401.350;Newton
118;59.000000;71250.670;Newton
119;59.500000;71094.398;Newton
120;60.000000;70932.926;Newton
